idcentro,latitud,localidad,longitud,naturaleza,nombre,tipo
50017606,41.70249287,Utebo,-0.99878273,Público,LA COMETA,Escuela de Educación Infantil
44010291,40.81239489,Utrillas,-0.84962976,Público,DE UTRILLAS,Escuela de Educación Infantil
44004598,40.87100895,Valderrobres,0.15655556,Público,Matarraña,Instituto de Educación Secundaria (IES)
44004884,40.87246991,Valderrobres,0.15380899,Público,C.P.E.P.A. De Valderrobres,Centro Público de Educación de Personas Adultas (Presenc
44010151,40.87135886,Valderrobres,0.15506964,Público,DE VALDERROBRES,Escuela Pública de Música y/o Danza
22010271,41.70436904,Vencillon,0.32355916,Público,DE VENCILLÓN,Escuela de Educación Infantil
44003478,40.69447003,Villafranca Del Campo,-1.34749799,Público,C.R.A. Alto Jiloca,Colegio Público
50017217,41.69180457,Villamayor,-0.77387050,Privado,Aldeas Infantiles Sos De España,Centro Privado de Educación Infantil
50009488,41.68566902,Villamayor,-0.77221874,Privado,Los Pueyos,Centro Privado de Educación  Especial
22004578,41.71365700,Villanueva De Sigena,-0.00542603,Público,Miguel Servet,Colegio Público
50007376,41.64467300,Zaragoza,-0.89893673,Privado,La Purísima  Para Niños Sordos,Centro Privado de Educación  Especial
50007421,41.64686721,Zaragoza,-0.87813403,Concertado,Sagrado Corazón,Centro Privado con varias Enseñanzas de Régimen General
50007613,41.65401146,Zaragoza,-0.92090729,Privado,San José,Centro Privado de Educación Infantil
50008058,41.64483840,Zaragoza,-0.86070761,Privado,Las Fuentes,Centro Privado de Educación Infantil
50008344,41.65703030,Zaragoza,-0.87959294,Privado,Escolanía Infantes Del Pilar,Centro Privado de Educación Primaria
50011801,41.67762172,Zaragoza,-0.89708439,Público,José Antonio Labordeta Subías,Colegio Público
50011847,41.67453289,Zaragoza,-0.88303991,Público,Josefa  Amar Y Borbón,Colegio Público
50017023,41.66017438,Zaragoza,-0.90211824,Privado,Puerta Sancho,Escuela Privada de Música y/o Danza
50017102,41.65104174,Zaragoza,-0.92768279,Público,Extensión De E.O.I.  Nº 1,Escuela Oficial de Idiomas (EOI)
50017163,41.65110553,Zaragoza,-0.89230856,Privado,Hermandad Del Refugio,Centro Privado de Educación Infantil
50017229,41.65360438,Zaragoza,-0.87774785,Privado,Bolandrina,Centro Privado de Educación Infantil
50017242,41.65205199,Zaragoza,-0.89055613,Privado,El Carmen,Centro Privado de Educación Infantil
50005549,41.58912804,Zaragoza,-0.95220604,Privado,Británico De Aragón,Centro Privado con varias Enseñanzas de Régimen General
50005616,41.64506894,Zaragoza,-0.95414083,Privado,San Antonio,Centro Privado de Educación  Especial
50010454,41.64419612,Zaragoza,-0.88458946,Privado,Adagio,Centro Privado de Música o Danza
50010740,41.67681260,Zaragoza,-0.88296513,Público,E.O.I. Nº 2,Escuela Oficial de Idiomas (EOI)
50007731,41.62870819,Zaragoza,-0.87107384,Concertado,Santa Ana,Centro Privado con varias Enseñanzas de Régimen General
50007777,41.63626277,Zaragoza,-0.92560401,Concertado,Santa Magdalena Sofía,Centro Privado con varias Enseñanzas de Régimen General
50007789,41.62627935,Zaragoza,-0.90054431,Concertado,Santa María Del Pilar,Centro Privado con varias Enseñanzas de Régimen General
50007790,41.64419759,Zaragoza,-0.90501241,Concertado,Santa María Reina,Centro Privado con varias Enseñanzas de Régimen General
50007807,41.65148286,Zaragoza,-0.88378646,Concertado,Santa Rosa,Centro Privado con varias Enseñanzas de Régimen General
50007820,41.64264742,Zaragoza,-0.88454843,Privado,Virgen Reina,Centro Privado de Educación Infantil
50007856,41.64646191,Zaragoza,-0.86001193,Concertado,Santo Domingo de Silos,Centro Privado con varias Enseñanzas de Régimen General
50007871,41.63579978,Zaragoza,-0.88878553,Privado,Santo Tomás De Aquino,Centro Privado de Educación Primaria
50007996,41.63290944,Zaragoza,-0.88654893,Concertado,Villa Cruz,Centro Privado con varias Enseñanzas de Régimen General
50008009,41.65413233,Zaragoza,-0.92728413,Concertado,Virgen Blanca,Centro Privado con varias Enseñanzas de Régimen General
50008149,41.66485814,Zaragoza,-0.87387933,Público,Eugenio López Y López,Colegio Público
50008174,41.63513144,Zaragoza,-0.88930655,Público,Miguel Servet,Instituto de Educación Secundaria (IES)
50008198,41.64274752,Zaragoza,-0.89112609,Público,Goya,Instituto de Educación Secundaria (IES)
50008277,41.64470518,Zaragoza,-0.90909281,Público,Jerónimo Zurita,Instituto de Educación Secundaria (IES)
50008289,41.65249468,Zaragoza,-0.87302097,Público,Pedro De Luna,Instituto de Educación Secundaria (IES)
50008332,41.63373772,Zaragoza,-0.90585627,Concertado,Romareda,Centro Privado con varias Enseñanzas de Régimen General
50008356,41.63770853,Zaragoza,-0.90532926,Público,Cesáreo Alierta,Colegio Público
50008368,41.63770853,Zaragoza,-0.90532926,Público,Doctor Azúa,Colegio Público
50008371,41.63681716,Zaragoza,-0.90624813,Público,César Augusto,Colegio Público
50008381,41.63588442,Zaragoza,-0.90546149,Público,Eliseo Godoy Beltrán,Colegio Público
50008459,41.65537982,Zaragoza,-0.90050826,Público,El Portillo,Instituto de Educación Secundaria (IES)
50008460,41.66317830,Zaragoza,-0.89570017,Público,Luis Buñuel,Instituto de Educación Secundaria (IES)
50008514,41.64884424,Zaragoza,-0.87810079,Público,Escuela De Arte,Escuela de Arte
50008605,41.87165422,Zuera,-0.79232664,Concertado,Ntra. Sra Del Pilar,Centro Privado con varias Enseñanzas de Régimen General
50008617,41.87247931,Zuera,-0.75541114,Concertado,San Gabriel,Centro Privado con varias Enseñanzas de Régimen General
22003847,42.50235205,Sabiñanigo,-0.36148369,Público,Puente Sardas,Colegio Público
22004104,41.79502223,Sariñena,-0.15800244,Público,La Laguna,Colegio Público
22004189,41.71385216,Sena,-0.04664175,Público,Alberto Galindo,Colegio Público
22004566,42.68051708,Villanua,-0.53289368,Público,Collarada,Colegio Público
22004608,41.60510755,Zaidin,0.26682186,Público,San Juan Bautista,Colegio Público
22004633,42.13856283,Huesca,-0.41166675,Público,El Parque,Colegio Público
22004657,42.14295113,Huesca,-0.41478377,Privado,Altoaragón,Centro Privado de Educación Secundaria
22004803,42.13870422,Huesca,-0.40968595,Privado,Alfred,Centro Privado de Formación Profesional Específica
22004840,41.91431595,Monzon,0.19247363,Público,Aragón,Colegio Público
44001378,40.79649008,Escucha,-0.80930428,Público,Antonio Gargallo Moya,Colegio Público
44002061,40.83150420,Mas De Las Matas,-0.24323006,Público,Valero Serrano,Colegio Público
44002191,40.83556513,Montalban,-0.79866593,Público,Cuencas Mineras,Colegio Público
44002541,40.63451401,Perales Del Alfambra,-1.00332116,Público,C.R.A. Teruel Uno,Colegio Público
44002942,40.14026194,Sarrión,-0.81011183,Público,C.P. De Sarrión,Colegio Público
44003041,40.33257021,Teruel,-1.09998610,Concertado,La Salle-San José,Centro Privado con varias Enseñanzas de Régimen General
44003077,40.35199534,Teruel,-1.11939750,Concertado,Las Viñas,Centro Privado con varias Enseñanzas de Régimen General
44003090,40.34359040,Teruel,-1.10927092,Público,Pierres Vedel,Colegio Público
44003156,40.33338271,Teruel,-1.10840334,Concertado,Victoria Diez,Centro Privado con varias Enseñanzas de Régimen General
44003171,40.34009583,Teruel,-1.10579718,Concertado,La Purísima Y Santos Mártires,Centro Privado con varias Enseñanzas de Régimen General
44003211,40.33222124,Teruel,-1.10659747,Público,Santa Emerenciana,Instituto de Educación Secundaria (IES)
50011720,41.49668514,Bujaraloz,-0.15406740,Público,Sección  Del I.E.S. Mar De Aragón,Instituto de Educación Secundaria (IES)
50011732,41.23340243,Caspe,-0.04381661,Público,Mar De Aragón,Instituto de Educación Secundaria (IES)
50011768,41.67633811,Zaragoza,-0.89201068,Privado,La Casita De Nany,Centro Privado de Educación Infantil
50011781,41.63227709,Zaragoza,-0.90321822,Concertado,Valle De Tena,Centro Privado de Formación Profesional Específica
50011793,41.65307422,Zaragoza,-0.90389318,Privado,Arte-Miss Zaragoza Centro 1,Centro Privado de Formación Profesional Específica
50011872,41.66035970,Zaragoza,-0.87477471,Público,Villacampa,Escuela de Educación Infantil
50017001,41.67625974,Zaragoza,-0.87803713,Privado,Andarines,Centro Privado de Educación Infantil
50017011,41.65974478,Zaragoza,-0.90101478,Privado,Educando,Centro Privado de Educación Infantil
50017035,42.26223124,Biota,-1.18939024,Público,E.E.I. De Biota,Escuela de Educación Infantil
50017047,41.66800669,Zaragoza,-0.88415587,Privado,Actur,Centro Privado de Música o Danza
